기기 이름:,,TCTempX4,TCTempX4,TCTempX4,TCTempX4,,,,
기기 설명,,4 채널 열전지 온도 데이터 로거,4 채널 열전지 온도 데이터 로거,4 채널 열전지 온도 데이터 로거,4 채널 열전지 온도 데이터 로거,,,,
일련 번호:,,T15168,T15168,T15168,T15168,,,,
기기 ID:,,MultiChannel,MultiChannel,MultiChannel,MultiChannel,,,,
,,,,,,,,,
,,채널 2,채널 4,채널 6,채널 8,,,,
날짜,시간,열전지 1 (°C),열전지 2 (°C),열전지 3 (°C),열전지 4 (°C),,,,
2025-04-26,PM 8:13:19,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:20,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:21,-270,24.3,-270,-270,,,,
2025-04-26,PM 8:13:22,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:23,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:24,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:25,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:26,-270,24.5,-270,-270,,,,
2025-04-26,PM 8:13:27,-270,24.5,-270,-270,,,,
2025-04-26,PM 8:13:28,-270,24.5,-270,-270,,,,
2025-04-26,PM 8:13:29,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:30,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:31,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:32,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:33,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:34,-270,24.3,-270,-270,,,,
2025-04-26,PM 8:13:35,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:36,-270,24.3,-270,-270,,,,
2025-04-26,PM 8:13:37,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:38,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:39,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:40,-270,24.3,-270,-270,,,,
2025-04-26,PM 8:13:41,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:42,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:43,-270,24.4,-270,-270,,,,
2025-04-26,PM 8:13:44,-270,24.3,-270,-270,,,,
2025-04-26,PM 8:13:45,-270,24.3,-270,-270,,,,
2025-04-26,PM 8:13:46,-270,24.3,-270,-270,,,,
2025-04-26,PM 8:13:47,-270,24.3,-270,-270,,,,
2025-04-26,PM 8:13:48,-270,24.3,-270,-270,,,,
